,orient,wwr,glazing,shading,shgc,inf_rate,exterior_mat,exterior_t (in),interior_mat,interior_t (in),Embodied (kg CO2e / ft2),Win Embodied (kg CO2e / ft2),Wall Embodied (kg CO2e / ft2),Operational (kg CO2e / ft2 * year),Cooling EUI (kBtu / ft2 * year),Heating EUI (kBtu / ft2 * year),Lighting EUI (kBtu / ft2 * year),Wall R (ft2 * F * h / BTU),city,program,city_gwp,tot_eui_kwh,area,payback_linear,Total GWP Linear (kg CO2e / ft2) 50 year,Op GWP Linear (kg CO2e / ft2) 50 year,Total GWP non-linear 2% (kg CO2e / ft2) 50 year,Op GWP non-linear 2% (kg CO2e / ft2) 50 year,Total GWP non-linear 3% (kg CO2e / ft2) 50 year,Op GWP non-linear 3% (kg CO2e / ft2) 50 year,Total GWP non-linear 5% (kg CO2e / ft2) 50 year,Op GWP non-linear 5% (kg CO2e / ft2) 50 year
la_s_40_3_2_residential_glz.json,s,0.4,Triple,0.0,0.25,0.00015,Polyiso,0.0,Cellulose,3.5,2.0254374942357300,1.4268456677117200,0.5985918265240060,1.9081872392342000,8.707989617012770,0.1398908145568500,1.709132962001990,15.5,Los Angeles,residential,0.175630822,10320.448949511000,949.900982012169,1.06,97.4347994559455,95.40936196170980,50.68421209470770,48.658774600471900,34.789012391886900,32.76357489765110,22.061403506194800,20.035966011959000
sa_s_80_6_0_office_glz.json,s,0.8,Triple,0.0,0.25,0.00059,Polyiso,2.0,Cellulose,6.0,5.39967443886514,4.710859883729440,0.6888145551357020,8.250863601025900,46.44974365538080,4.256107871058270,3.8094850499312100,39.9,San Antonio,office,0.414311,44444.784983665000,2231.76193448134,0.65,417.9428544901600,412.54318005129500,215.79669626502500,210.3970218261600,147.0670024684800,141.66732802961500,92.03374224963700,86.63406781077190
ny_n_20_2_1_residential_glz.json,n,0.2,Triple,0.0,0.25,0.0003,Polyiso,1.0,Cellulose,0.0,1.6350332290588800,0.7134228338558600,0.9216103952030190,2.3067807749519000,9.470857251622960,8.03553430512475,1.8609433457304100,10.7,New York,residential,0.171548494,12773.142289512600,949.900982012169,0.71,116.97407197665400,115.33903874759500,60.45794299033250,58.82290976127360,41.24245913498310,39.6074259059242,25.856231366053900,24.221198136995000
sa_n_40_4_1_residential_glz.json,n,0.4,Triple,0.0,0.25,0.0003,Polyiso,0.0,Cellulose,5.5,2.0934166160739000,1.4268456677117200,0.6665709483621840,6.691729327687010,25.292113806340300,1.5323228171856000,1.7715420969657600,22.2,San Antonio,residential,0.414311,15342.291804295600,949.900982012169,0.31,336.67988300042400,334.58646638435100,172.73251447209200,170.63909785601900,116.99040917246000,114.89699255638600,72.35657455678750,70.26315794071350
ny_n_40_11_0_residential_glz.json,n,0.4,Triple,0.0,0.25,0.00059,Polyiso,5.0,Cellulose,9.25,3.0982252557079900,1.4268456677117200,1.6713795879962700,2.442594519435100,10.253224103829400,10.016749977345600,1.7987282264921300,69.7,New York,residential,0.171548494,13525.172262188100,949.900982012169,1.27,125.22795122746300,122.12972597175500,65.38438550130300,62.28616024559500,45.03757315440860,41.939347898700600,28.745467709776500,25.647242454068500
at_w_0_10_0_residential_glz.json,w,0.0,Triple,0.0,0.25,0.00059,Polyiso,4.0,Cellulose,9.25,2.49364201976972,0.0,2.49364201976972,5.238401465114380,13.181515923279600,3.109389919803900,1.9252056155166500,62.7,Atlanta,residential,0.399590512,12452.654771458000,949.900982012169,0.48,264.4137152754890,261.920073255719,136.0728793801860,133.57923736041700,92.43699517578370,89.94335315601400,57.49685740347070,55.003215383701000
se_e_20_7_2_office_glz.json,e,0.2,Triple,0.0,0.25,0.00015,Polyiso,3.0,Cellulose,6.0,4.31858656558325,1.1777149709323600,3.1408715946508900,1.0629266502536200,2.765608019804020,4.1793365739266700,6.351888351152710,46.9,Seattle,office,0.135669,17485.19733455530,2231.76193448134,4.06,57.46491907826400,53.14633251268080,31.42321614705050,27.104629581467200,22.56903715043790,18.2504505848546,15.479316393246200,11.160729827663000
mi_w_80_1_1_residential_glz.json,w,0.8,Triple,0.0,0.25,0.0003,Polyiso,0.5,Cellulose,0.0,3.05489487153512,2.8536913354234400,0.2012035361116820,8.607335030698,9.437411019680710,14.930104378574700,1.6304369939463700,7.2,Milwaukee,residential,0.559278936,14619.030812502800,949.900982012169,0.35,433.42164640643500,430.3667515349000,222.5419381543340,219.487043282799,150.84283734862000,147.7879424770850,93.43191269386410,90.37701782232890
mi_s_80_6_0_residential_glz.json,s,0.8,Triple,0.0,0.25,0.00059,Polyiso,0.0,Cellulose,9.25,3.1188272378648000,2.8536913354234400,0.26513590244136100,8.839306836331210,9.836264987057020,15.934538416592700,1.6424003522710200,34.7,Milwaukee,residential,0.559278936,15013.020701601900,949.900982012169,0.35,445.0841690544260,441.96534181656100,228.5211515643110,225.402324326446,154.88972561767200,151.77089837980700,95.93154901934240,92.81272178147770
at_n_80_10_2_residential_glz.json,n,0.8,Triple,0.0,0.25,0.00015,Polyiso,4.0,Cellulose,9.25,3.3524197393773800,2.8536913354234400,0.49872840395394400,5.801247864416370,17.788767104903800,3.5866451663822100,1.6468961695746200,62.7,Atlanta,residential,0.399590512,13790.645367738600,949.900982012169,0.58,293.4148129601960,290.062393220819,151.2842402819950,147.93182054261700,102.9598455714070,99.60742583202920,64.26552231574930,60.913102576372000
