filename,site,size,footprint,height,num_stories,num_adiabatic,inf_rate,orientation,WWR,frame,polyiso_t,cellulose_t,setback,rear_setback,side_setback,structure_setback,assembly_r,area_buildable,surf_area,volume,surf_vol_ratio,EUI,carbon,kgCO2e
n_20_4_1_1_0_1,1,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,0,5,5,5,6.118260341,1050.646485,991.7655344,2000,0.495882767,140.557,1117.725263,0.135669
n_20_5_0_1_1_1,1,200,200,10,1,1,0.00059,1,0.2,3,1,9.25,1,0,5,5,7.351032352,1170.409731,1002.009859,2000,0.50100493,140.935,1120.737633,0.135669
n_20_5_1_1_1_1,1,200,200,10,1,1,0.00015,1,0.2,3,1,9.25,1,0,5,5,7.351032352,1170.409731,1002.009859,2000,0.50100493,140.935,1120.737633,0.135669
n_20_2_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.2,1,0,5.5,0,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,141.238,1123.145008,0.135669
n_20_2_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.2,1,0,5.5,1,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,141.238,1123.145008,0.135669
n_20_2_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.2,1,0,5.5,0,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,141.238,1123.145008,0.135669
n_20_2_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.2,1,0,5.5,1,0,5,5,3.904421947,810.1583246,965.841871,2000,0.482920935,141.238,1123.145008,0.135669
n_30_5_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.3,3,1,9.25,1,0,5,5,7.351032352,2225.954944,967.1889137,2000,0.483594457,141.475,1125.025533,0.135669
n_30_5_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.3,3,1,9.25,1,0,5,5,7.351032352,2225.954944,967.1889137,2000,0.483594457,141.475,1125.025533,0.135669
n_20_4_0_2_0_1,2,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,0,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,141.503,1125.254927,0.135669
n_20_4_0_2_1_1,2,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,1,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,141.503,1125.254927,0.135669
n_20_4_1_2_0_1,2,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,0,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,141.503,1125.254927,0.135669
n_20_4_1_2_1_1,2,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,1,0,5,5,6.118260341,1619.025972,1002.701919,2000,0.50135096,141.503,1125.254927,0.135669
n_20_4_0_1_1_1,1,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,1,0,5,5,6.118260341,1170.409731,1002.009859,2000,0.50100493,141.977,1129.018499,0.135669
n_20_4_1_1_1_1,1,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,1,0,5,5,6.118260341,1170.409731,1002.009859,2000,0.50100493,141.977,1129.018499,0.135669
n_30_5_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.3,3,1,9.25,0,5,5,5,7.351032352,1972.217303,970.726696,2000,0.485363348,141.995,1129.164706,0.135669
n_30_5_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.3,3,1,9.25,0,5,5,5,7.351032352,1972.217303,970.726696,2000,0.485363348,141.995,1129.164706,0.135669
n_20_3_0_1_0_1,1,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,0,5,5,5,4.937546531,1050.646485,991.7655344,2000,0.495882767,142.072,1129.772221,0.135669
n_20_3_1_1_0_1,1,200,200,10,1,1,0.00015,1,0.2,2,0,7.25,0,5,5,5,4.937546531,1050.646485,991.7655344,2000,0.495882767,142.072,1129.772221,0.135669
n_30_4_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.3,3,0,9.25,1,0,5,5,6.118260341,2225.954944,967.1889137,2000,0.483594457,142.326,1131.798954,0.135669
n_30_4_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.3,3,0,9.25,1,0,5,5,6.118260341,2225.954944,967.1889137,2000,0.483594457,142.326,1131.798954,0.135669
n_30_4_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.3,3,0,9.25,0,5,5,5,6.118260341,1972.217303,970.726696,2000,0.485363348,142.8,1135.562525,0.135669
n_30_4_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.3,3,0,9.25,0,5,5,5,6.118260341,1972.217303,970.726696,2000,0.485363348,142.8,1135.562525,0.135669
n_20_3_0_2_0_1,2,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,0,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,143.066,1137.677486,0.135669
n_20_3_0_2_1_1,2,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,1,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,143.066,1137.677486,0.135669
n_20_3_1_2_0_1,2,200,200,10,1,1,0.00015,1,0.2,2,0,7.25,0,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,143.066,1137.677486,0.135669
n_20_3_1_2_1_1,2,200,200,10,1,1,0.00015,1,0.2,2,0,7.25,1,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,143.066,1137.677486,0.135669
n_30_5_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.3,3,1,9.25,0,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,143.178,1138.572374,0.135669
n_30_5_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.3,3,1,9.25,1,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,143.178,1138.572374,0.135669
n_30_5_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.3,3,1,9.25,0,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,143.178,1138.572374,0.135669
n_30_5_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.3,3,1,9.25,1,0,5,5,7.351032352,810.1583246,965.841871,2000,0.482920935,143.178,1138.572374,0.135669
n_10_1_0_1_0_1,1,200,200,10,1,1,0.00059,1,0.1,0,0,3.5,0,5,5,5,2.723708136,1050.646485,991.7655344,2000,0.495882767,143.539,1141.443578,0.135669
n_10_1_1_1_0_1,1,200,200,10,1,1,0.00015,1,0.1,0,0,3.5,0,5,5,5,2.723708136,1050.646485,991.7655344,2000,0.495882767,143.539,1141.443578,0.135669
n_20_3_0_1_1_1,1,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,1,0,5,5,4.937546531,1170.409731,1002.009859,2000,0.50100493,143.539,1141.443578,0.135669
